cell5m,gdd
2195578,1109
2195579,1109
2195580,1109
2195581,1109
2195582,1109
2195583,1109
2195584,1114
2195610,981
2195611,981
2195612,981
2195613,981
2195614,922
2199610,1440
2199668,948
2199669,948
2199670,948
2199803,1234
2199804,1234
2199805,1234
2199806,1239
2199813,1239
2199814,1257
2199815,1262
2199816,1257
2199817,1257
2199818,1257
2199819,1257
2199820,1257
2199821,1229
2199822,1223
2199823,1223
2199824,1223
2199825,1223
2199826,1223
2199827,1223
2199828,1223
2199829,1207
2199830,1207
2199831,1207
2199832,1207
2199833,1207
2199834,1207
2199835,1207
2199836,1201
2199837,1201
2199838,1201
2199839,1201
2199840,1201
2199841,1201
2199842,1201
2199843,1201
2199844,1199
2199845,1199
2199846,1199
2199847,1199
2199848,1199
2199849,1205
2199850,1199
2199851,1220
2199852,1220
2199853,1214
2199854,1214
2199855,1214
2199856,1214
2199857,1214
2199858,1214
2199859,1204
2199860,1204
2199861,1204
2199862,1204
2199863,1204
2199864,1204
2199865,1204
2199866,1255
2199867,1255
2199868,1255
2199869,1255
2199870,1255
2199871,1255
2199872,1255
2199873,1255
2199874,1273
2199875,1273
2199876,1273
2199877,1273
2199878,1331
2199879,1331
2199880,1331
2199881,1269
2199882,1269
2199883,1269
2199884,1269
2199885,1269
2199886,1269
2199887,1269
2199888,1269
2199889,1190
2199890,1190
2199891,1190
2199892,1190
2199893,1190
2199894,1190
2199895,1190
2199896,1183
2199897,1183
2199898,1109
2199899,1109
2199900,1109
2199901,1109
2199925,1033
2199926,981
2199928,981
2199929,981
2199933,981
2203957,1132
2203988,948
2203989,948
2203990,948
2204124,1234
2204125,1234
2204126,1239
2204127,1239
2204128,1239
2204129,1239
2204130,1239
2204131,1239
2204132,1239
2204133,1239
2204134,1257
2204135,1257
2204136,1257
2204137,1257
2204138,1257
2204142,1229
2204143,1223
2204144,1223
2204145,1223
2204146,1223
2204147,1223
2204148,1223
2204149,1207
2204150,1207
2204151,1207
2204152,1207
2204153,1207
2204154,1207
2204155,1207
2204156,1201
2204157,1201
2204158,1201
2204159,1201
2204160,1201
2204161,1201
2204162,1201
2204163,1201
2204164,1199
2204165,1199
2204166,1199
2204167,1199
2204168,1199
2204169,1205
2204170,1199
2204171,1220
2204172,1220
2204173,1214
2204174,1214
2204175,1220
2204176,1220
2204177,1220
2204178,1214
2204179,1204
2204180,1204
2204181,1204
2204182,1204
2204183,1204
2204184,1204
2204185,1204
2204186,1255
2204187,1255
2204188,1255
2204189,1255
2204190,1255
2204191,1255
2204192,1255
2204193,1255
2204194,1273
2204195,1273
2204196,1273
2204197,1273
2204198,1331
2204199,1331
2204200,1331
2204201,1269
2204202,1269
2204203,1269
2204204,1269
2204205,1269
2204206,1269
2204207,1269
2204208,1269
2204209,1190
2204210,1190
2204211,1190
2204212,1190
2204213,1190
2204214,1190
2204215,1190
2204216,1183
2204217,1183
2204218,1109
2204219,1109
2204220,1109
2204221,1109
2204222,1109
2204223,1109
2204245,1033
2204246,981
2204247,981
2204248,981
2204249,981
2204250,981
2204251,981
2204252,981
2204253,981
2204254,922
2208212,1053
2208213,1053
2208243,1250
2208278,1132
2208308,948
2208309,948
2208310,948
2208311,723
2208443,1234
2208444,1234
2208445,1234
2208446,1239
2208447,1239
2208448,1239
2208449,1239
2208450,1239
2208451,1239
2208452,1239
2208453,1239
2208454,1257
2208455,1257
2208456,1257
2208457,1257
2208458,1257
2208461,1223
2208462,1229
2208463,1223
2208464,1223
2208465,1223
2208466,1223
2208467,1223
2208468,1223
